DEBUG 2025-11-25 15:45:20,446 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\kombu\utils\collections.py first seen with mtime 1764064059.8721964
DEBUG 2025-11-25 15:45:20,446 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\django\conf\global_settings.py first seen with mtime 1764063946.417448
DEBUG 2025-11-25 15:45:20,446 autoreload File C:\Users\Medserv Africa\schoolsaas\examinations\models.py first seen with mtime 1764058919.1049776
DEBUG 2025-11-25 15:45:20,446 autoreload File C:\Users\Medserv Africa\schoolsaas\library\models.py first seen with mtime 1764058919.2515986
DEBUG 2025-11-25 15:45:20,447 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\django\utils\log.py first seen with mtime 1764063953.958372
DEBUG 2025-11-25 15:45:20,447 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\celery\utils\dispatch\signal.py first seen with mtime 1764064089.903841
DEBUG 2025-11-25 15:45:20,447 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\cryptography\hazmat\backends\__init__.py first seen with mtime 1764064082.3779378
DEBUG 2025-11-25 15:45:20,447 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\allauth\socialaccount\providers\__init__.py first seen with mtime 1764064067.333208
DEBUG 2025-11-25 15:45:20,448 autoreload File C:\Python313\Lib\lzma.py first seen with mtime 1744116328.0
DEBUG 2025-11-25 15:45:20,448 autoreload File C:\Python313\Lib\pkgutil.py first seen with mtime 1744116328.0
DEBUG 2025-11-25 15:45:20,448 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\django\db\models\functions\text.py first seen with mtime 1764063953.6581697
